lat,lon,elev,dist,elev_diff,slope,time_diff,pace,energy_cost,adjusted_pace,weather_adjusted_pace,temp,humidity,ml_predicted_pace
46.269385,3.445281,282.0,35.85113424579097,0.25,0.0069732800721458545,11.945,333.1833218471289,3.738215622812375,345.97530527485026,353.2407866856221,20.419999999999998,61.25999999999999,355.4324
46.269409,3.445348,282.0,5.806863735558939,0.0,0.0,1.96,337.5315986834226,3.6,337.5315986834226,344.61976225577445,20.419999999999998,61.25999999999999,332.33093
46.269451,3.44538,282.0,5.284240874521814,0.0,0.0,1.783,337.4183808684438,3.6,337.4183808684438,344.5041668666811,20.419999999999998,61.25999999999999,332.33093
46.269485,3.445662,282.25,22.027927095086092,0.25,0.011349229499482458,7.457,338.52481751056274,3.827209874546988,359.89042343212304,367.4481223241976,20.419999999999998,61.25999999999999,365.28802
46.26893,3.449186,289.5,278.1287713199176,7.25,0.02606706226613531,94.296,339.0372004755166,4.138989070974491,389.7975742838752,397.9833233438365,20.419999999999998,61.25999999999999,400.0145
46.268769,3.450104,292.5,72.88049350649968,3.0,0.041163277794386124,26.849,368.39761516715765,4.478046362369385,458.2504445846797,467.87370392095795,20.419999999999998,61.25999999999999,469.56827
46.268663,3.450091,293.0,11.842196085511413,0.5,0.04222189840377121,4.591,387.6814711434273,4.502530620854448,484.87435971143924,495.0567212653794,20.419999999999998,61.25999999999999,497.15826
46.268576,3.450372,293.75,23.693487225099965,0.75,0.03165426823306444,9.05,381.9615033456443,4.262251548788656,452.22666922572665,461.72342927946687,20.419999999999998,61.25999999999999,408.42776
46.268396,3.45067,294.5,30.45289633467778,0.75,0.024628199293672725,11.397,374.2501164666507,4.10767646813797,427.02733239109875,435.9949063713118,20.419999999999998,61.25999999999999,433.40552
46.268349,3.450887,295.0,17.499281483342255,0.5,0.02857260170801613,6.288,359.3290390800109,4.193937416401223,418.61208383254296,427.4029375930263,20.419999999999998,61.25999999999999,428.0929
46.268272,3.451209,295.25,26.219615922304115,0.25,0.009534846000064162,9.421,359.3111366664179,3.790101008876852,378.2848615500219,386.2288436425723,20.419999999999998,61.25999999999999,383.64862
46.268094,3.452083,295.75,70.11547176663626,0.5,0.007131093714439214,24.856,354.5009307322022,3.7413950202718196,368.4244491453296,376.1613625773815,20.419999999999998,61.25999999999999,375.74887
46.267957,3.452719,296.75,51.263612503195,1.0,0.019507013867539575,17.345,338.3491555324739,3.997679639051363,375.7254249895538,383.6156589143344,20.419999999999998,61.25999999999999,383.8821
46.267798,3.45321,299.0,41.72458580597682,2.25,0.0539250409929222,15.924,381.6454901205747,4.779198497274041,506.6554313543515,517.2951954127929,20.419999999999998,61.25999999999999,518.85034
46.267703,3.453647,300.75,35.25254287299156,1.75,0.049641808998146,14.269,404.765127196883,4.67667801671257,525.8211589704249,536.8634033088038,20.419999999999998,61.25999999999999,534.6096
46.267679,3.453889,301.5,18.813548631126036,0.75,0.03986488751830498,7.475,397.32004559910627,4.448141350427255,490.92659005084084,501.23604844190845,20.419999999999998,61.25999999999999,498.77206
46.267716,3.454382,303.5,38.16125617522055,2.0,0.05240917622881268,15.265,400.0130375664128,4.742751063304814,526.9895164594146,538.0562963050622,20.419999999999998,61.25999999999999,537.10126
46.267764,3.454877,305.75,38.46514257235918,2.25,0.058494518661080866,15.686,407.7977865412064,4.890147819199458,553.9420712580129,565.5748547544312,20.419999999999998,61.25999999999999,563.54694
46.267759,3.455016,306.25,10.711070982514839,0.5,0.0466806728119176,4.325,403.78781982308726,4.606650332936848,516.697026284408,527.5476638363806,20.419999999999998,61.25999999999999,525.3162
46.267731,3.455132,306.5,9.45519251494348,0.25,0.02644049812892619,3.817,403.6935254324451,4.147144810197516,465.0487524743066,474.81477627626697,20.419999999999998,61.25999999999999,472.33835
46.267479,3.455596,306.75,45.40837114535863,0.25,0.0055055927727448006,15.959,351.455020240937,3.708755230734257,362.07240130177485,369.6759217291121,20.419999999999998,61.25999999999999,367.17932
46.267269,3.456081,306.25,44.039696643796105,-0.5,-0.011353393372441298,14.187,322.1411835496494,3.384639710839382,302.86995620526153,309.230225285572,20.419999999999998,61.25999999999999,310.24197
46.267204,3.456202,306.0,11.792403323778649,-0.25,-0.021200089001017337,3.732,316.4749286071868,3.2078132780608715,281.99791059986114,287.9198667224582,20.419999999999998,61.25999999999999,289.7999
46.267137,3.456243,306.0,8.098319362307736,0.0,0.0,2.645,326.6109771257858,3.6,326.6109771257858,333.46980764542724,20.419999999999998,61.25999999999999,332.33093
46.267141,3.45645,306.25,15.935870077172728,0.25,0.015687878903964676,5.206,326.6843902961605,3.9171396383154073,355.4634373466643,362.9281695309442,20.419999999999998,61.25999999999999,365.6102
46.267122,3.457528,305.0,82.9842840316883,-1.25,-0.015063093145717521,27.112,326.71246509335475,3.3169213081017737,301.02209363627924,307.34355760264106,20.419999999999998,61.25999999999999,304.95996
46.267126,3.457695,305.25,12.859170289326347,0.25,0.019441378749569135,4.016,312.30630823307854,3.996284678799653,346.68469852342605,353.965077192418,20.419999999999998,61.25999999999999,358.77048
46.267135,3.457926,305.25,17.804775692078273,0.0,0.0,6.203,348.38967405581235,3.6,348.38967405581235,355.7058572109844,20.419999999999998,61.25999999999999,332.33093
46.267163,3.458256,305.75,25.585649761847726,0.5,0.0195422045034627,8.913,348.3593374787261,3.998427709886054,386.9137855479127,395.03897504441886,20.419999999999998,61.25999999999999,395.4641
46.267386,3.460268,306.75,156.80981354406495,1.0,0.00637715189756916,54.175,345.48220405080923,3.726226115133455,357.59578084666396,365.1052922444439,20.419999999999998,61.25999999999999,364.99457
46.267414,3.460777,307.25,39.2936288289905,0.5,0.012724709193341397,13.63,346.87557261048653,3.855538684186387,371.4978302219541,379.2992846566151,20.419999999999998,61.25999999999999,378.94193
46.267463,3.460783,308.25,5.474162291542345,1.0,0.18267635242473787,2.077,379.41878398618053,8.441051248532176,889.6370556341969,908.319433802515,20.419999999999998,61.25999999999999,908.1674
46.267996,3.460954,313.5,60.77499679140399,5.25,0.08638420859188856,23.067,379.5475313503035,5.6011360837242945,590.5270481485173,602.9281161596361,20.419999999999998,61.25999999999999,685.4195
46.268182,3.461041,315.0,21.760902746112595,1.5,0.06893096382538462,9.433,433.4838545099021,5.149520938979299,620.0650515300546,633.0864176121856,20.419999999999998,61.25999999999999,631.8442
46.268389,3.461206,316.75,26.309815101993504,1.75,0.06651510066550798,11.129,422.998031603679,5.088752587325814,597.9256465991522,610.4820851777343,20.419999999999998,61.25999999999999,610.4463
46.268668,3.46147,317.5,37.11236648818403,0.75,0.020208897221328844,14.782,398.30389163424394,4.0126204792225275,443.9562090348883,453.2792894246209,20.419999999999998,61.25999999999999,449.56076
46.269237,3.462077,319.75,78.70108133026008,2.25,0.02858918787352022,28.279,359.3216195001237,4.194302944958105,418.63992412680125,427.43136253346404,20.419999999999998,61.25999999999999,428.0929
46.269363,3.462173,320.25,15.852728152601804,0.5,0.031540312505638865,5.922,373.5634613167867,4.259711115900428,442.0201190737099,451.30254157425776,20.419999999999998,61.25999999999999,408.42776
46.269495,3.462242,320.75,15.624056639619536,0.5,0.03200193211871098,5.89,376.98276035841536,4.2700088218438665,447.14436455930166,456.53439621504697,20.419999999999998,61.25999999999999,456.19818
46.269939,3.462372,322.75,50.4280414954338,2.0,0.03966047343284386,19.011,376.9926302158973,4.443445766678855,465.31841855609883,475.09010534577686,20.419999999999998,61.25999999999999,477.9201
46.269766,3.462999,319.25,51.94983612565126,-3.5,-0.06737268605688258,20.175,388.35541177074464,2.50879149323126,270.63965372243536,276.32308645060647,20.419999999999998,61.25999999999999,274.25397
46.2693,3.464206,310.75,106.38537671669951,-8.5,-0.07989819900375217,24.54,230.67080041789154,2.3578916907651806,151.0824343354166,154.25516545646033,20.419999999999998,61.25999999999999,154.45181
46.269217,3.46451,309.5,25.151916302988095,-1.25,-0.049698002527604535,5.627,223.72052817826454,2.7503273779836186,170.9179704626768,174.507247842393,20.419999999999998,61.25999999999999,182.32549
46.269078,3.465122,307.5,49.571522597222085,-2.0,-0.04034574479889139,12.877,259.7660778876622,2.891370669857443,208.6333385078585,213.0146386165235,20.419999999999998,61.25999999999999,215.5636
46.268857,3.465867,306.0,62.385222777802696,-1.5,-0.024044155542131292,16.476,264.1010044747701,3.158496468345244,231.71169164444245,236.5776371689757,20.419999999999998,61.25999999999999,239.66475
46.268867,3.466196,305.25,25.34180043369607,-0.75,-0.029595371566526595,7.239,285.65452636011474,3.0645393566514483,243.16653845450003,248.27303576204451,20.419999999999998,61.25999999999999,217.54549
46.268823,3.466955,302.25,58.61193472611535,-3.0,-0.05118411487384853,16.392,279.67000367070835,2.7287501105519927,211.98598706514488,216.4376927935129,20.419999999999998,61.25999999999999,182.32549
46.268766,3.467366,299.75,32.25771322421059,-2.5,-0.07750084398802513,7.686,238.26859475678444,2.3854538837295465,157.88298464815358,161.1985273257648,20.419999999999998,61.25999999999999,161.58606
46.268677,3.467631,298.5,22.67177820483875,-1.25,-0.055134625467234744,5.283,233.02098107472094,2.67251577293666,172.9867353742685,176.61945681712814,20.419999999999998,61.25999999999999,178.69087
46.268622,3.467796,297.75,14.09627028629757,-0.75,-0.05320556322824241,3.663,259.8559708067359,2.6997708384905046,194.8754367199071,198.96782089102513,20.419999999999998,61.25999999999999,197.70932
46.268535,3.468036,297.25,20.85396074771023,-0.5,-0.023976260723272923,5.865,281.2415382839914,3.159664511118791,246.84136321344013,252.02503184092237,20.419999999999998,61.25999999999999,239.66475
46.268401,3.468284,296.25,24.222385324399422,-1.0,-0.04128412567992184,7.118,293.86040658968363,2.87681210514845,234.82810413917977,239.75949432610253,20.419999999999998,61.25999999999999,239.4766
46.268508,3.468392,297.0,14.524035997973213,0.75,0.05163853904690544,4.448,306.25096224084723,4.724290911552018,401.89406599124857,410.33384137706474,20.419999999999998,61.25999999999999,412.15625
46.269442,3.468692,303.25,106.5044606181615,6.25,0.05868298814645355,32.616,306.24069462155666,4.894758558908693,416.38173919028,425.1257557132758,20.419999999999998,61.25999999999999,427.38562
46.269564,3.468522,303.5,18.856694156114667,0.25,0.013257891225802822,7.607,403.4111142187283,3.866565327434284,433.282063038824,442.38098636263925,20.419999999999998,61.25999999999999,437.86813
46.269789,3.468839,305.25,34.962684384818154,1.75,0.05005336491725168,13.509,386.38337523837305,4.686465988307965,502.99237402840816,513.5552138830047,20.419999999999998,61.25999999999999,515.3505
46.26985,3.46896,305.75,11.524184264148731,0.5,0.04338701885872128,4.404,382.15286210761707,4.529583253775533,480.83144571807014,490.92890607814957,20.419999999999998,61.25999999999999,497.15826
46.269856,3.469099,306.0,10.717023822187764,0.25,0.023327371866284162,4.096,382.1956606571997,4.07952107270015,433.1042365404449,442.1994255077942,20.419999999999998,61.25999999999999,441.82303
46.26982,3.469201,306.25,8.812888159747322,0.25,0.02836754483528676,3.327,377.51528666799624,4.189420271271488,439.32505407826955,448.55088021391316,20.419999999999998,61.25999999999999,446.0091
46.269537,3.46966,308.5,47.32883254068646,2.25,0.04753973168608747,18.5,390.88223830783033,4.626894238554748,502.3807712166344,512.9307674121836,20.419999999999998,61.25999999999999,511.3435
46.269516,3.469797,309.5,10.798430695298888,1.0,0.0926060488062725,4.695,434.78539914544945,5.767315889362578,696.540205820667,711.167550142901,20.419999999999998,61.25999999999999,711.5518
46.269549,3.469947,310.75,12.113183441301794,1.25,0.10319335177719917,5.564,459.3342474306689,6.056102075272168,772.7153025301259,788.9423238832585,20.419999999999998,61.25999999999999,711.5518
46.2696,3.47007,312.25,11.03713004924537,1.5,0.13590489495976882,5.07,459.3585449640186,6.9934560882571795,892.362170269882,911.1017758455494,20.419999999999998,61.25999999999999,910.3053
46.269609,3.470199,313.5,9.97715500872443,1.25,0.12528621625172195,4.532,454.2377056422432,6.68198977977336,843.1143629692136,860.819764591567,20.419999999999998,61.25999999999999,806.5633
46.269583,3.470341,314.75,11.303914213397967,1.25,0.1105811647542793,5.135,454.2674248105793,6.261971366368974,790.1693352327829,806.7628912726713,20.419999999999998,61.25999999999999,806.5633
46.269433,3.470639,317.25,28.36684525932726,2.5,0.08813105500965,12.918,455.3907874458634,5.647524002712556,714.3973340874126,729.3996781032481,20.419999999999998,61.25999999999999,728.70306
46.269388,3.470937,319.25,23.47236628526168,2.0,0.08520657762808524,10.186,433.95709985983814,5.569983304819512,671.4260558964423,685.5260030702675,20.419999999999998,61.25999999999999,685.4195
46.269396,3.471086,319.75,11.500329627571437,0.5,0.04347701467628164,4.777,415.3793982171948,4.531677417884787,522.8792885431762,533.8597536025829,20.419999999999998,61.25999999999999,531.09576
46.269521,3.471152,320.5,14.812820094827986,0.75,0.050631817250104086,6.153,415.38342871985384,4.700245868650189,542.3345124295121,553.7235371905318,20.419999999999998,61.25999999999999,551.71405
46.269612,3.471234,321.0,11.934597994741702,0.5,0.04189500142529278,4.957,415.34704413035263,4.494960270695395,518.6023505324172,529.4929998935979,20.419999999999998,61.25999999999999,527.6125
46.27088,3.472947,324.5,193.13025321163755,3.5,0.01812248439484311,80.228,415.408765151278,3.968333806211602,457.9112905962312,467.52742769875204,20.419999999999998,61.25999999999999,463.0943
46.271135,3.473034,325.0,29.165203758266042,0.5,0.01714371701786206,10.325,354.01775641885143,3.947689807688537,388.2089690987397,396.3613574498132,20.419999999999998,61.25999999999999,398.3167
46.271268,3.472998,325.0,15.062417317754448,0.0,0.0,5.014,332.8814953287659,3.6,332.8814953287659,339.8720067306699,20.419999999999998,61.25999999999999,332.33093
46.271451,3.472892,324.75,21.94370725322012,-0.25,-0.011392787787182763,7.169,326.6995825852529,3.383913662262774,307.0897724904952,313.53865771279555,20.419999999999998,61.25999999999999,311.9045
46.271636,3.472742,324.5,23.608077875751082,-0.25,-0.010589595701765549,7.713,326.7102065908707,3.3987459606871995,308.4458319350006,314.9231944056356,20.419999999999998,61.25999999999999,296.9727
46.271734,3.472714,324.75,11.120033795542762,0.25,0.022481946062089073,3.751,337.31911871558447,4.061300821482446,380.54289276148273,388.53429350947386,20.419999999999998,61.25999999999999,449.56076
46.271817,3.472727,325.0,9.293510787012247,0.25,0.02690049064658933,3.242,348.8455627049704,4.157207317533677,402.8398127684045,411.29944883654093,20.419999999999998,61.25999999999999,408.9266
46.27191,3.472771,325.5,10.892279018542208,0.5,0.04590407564375069,3.8,348.87097489250516,4.588400455997392,444.6554834113959,453.99324856303514,20.419999999999998,61.25999999999999,507.88693
46.272379,3.473288,326.75,65.6380828997731,1.25,0.019043822500250402,24.761,377.23527114296013,3.9878433653338674,417.8764369992711,426.65184217625574,20.419999999999998,61.25999999999999,463.0943
46.272523,3.473402,327.0,18.273174075595694,0.25,0.013681257507084202,6.616,362.0607986674763,3.8753389337190836,389.7523081804159,397.93710665220465,20.419999999999998,61.25999999999999,394.49628
46.272683,3.473468,327.75,18.520992216741373,0.75,0.04049459074455336,7.022,379.13735494433826,4.462627713826953,469.98579653379164,479.85549826100123,20.419999999999998,61.25999999999999,480.27286
46.27282,3.473488,328.25,15.3282197217421,0.5,0.032619574162991806,5.811,379.10469092229073,4.283815037967026,451.11510442687506,460.5885216198394,20.419999999999998,61.25999999999999,458.4535
46.272959,3.473465,329.0,15.574289370676002,0.75,0.04815629029033806,6.045,388.13969974012474,4.641459866034873,500.4263440996154,510.93529732570727,20.419999999999998,61.25999999999999,511.3435
46.273132,3.473386,329.75,20.194861659922765,0.75,0.037138159826486696,7.838,388.11852896000363,4.385788275942623,472.8349149969115,482.76444821184657,20.419999999999998,61.25999999999999,483.27747
46.273764,3.47295,332.0,77.94330460752225,2.25,0.028867136328510942,30.517,391.52817748318597,4.200431893412749,456.8298455194838,466.4232722753929,20.419999999999998,61.25999999999999,463.39133
46.274038,3.472812,332.25,32.296981377283565,0.25,0.007740661490297673,11.729,363.1608744788056,3.753696907544099,378.66551429780645,386.61749009806033,20.419999999999998,61.25999999999999,383.93292
46.274284,3.472758,332.25,27.698018159296623,0.0,0.0,9.238,333.52566768028265,3.6,333.52566768028265,340.52970670156856,20.419999999999998,61.25999999999999,332.33093
46.274516,3.472775,332.5,25.85922622277484,0.25,0.009667729337539845,8.645,334.31008049212784,3.792808773072806,352.2150572825607,359.61157348549443,20.419999999999998,61.25999999999999,362.2641
46.27514,3.472884,333.5,69.96783526429284,1.0,0.014292281535117562,23.962,342.471650144487,3.888029570015316,369.87219518158486,377.6395112803981,20.419999999999998,61.25999999999999,377.73608
46.275937,3.472929,334.75,88.78916972136018,1.25,0.014078293601829741,31.07,349.93006576708,3.8835813808704125,377.4949688943863,385.4223632411684,20.419999999999998,61.25999999999999,385.85303
46.27612,3.472818,334.5,22.089324709923215,-0.25,-0.011317684143041828,7.541,341.38662449071376,3.3852979686184304,321.02651288942116,327.76806966009894,20.419999999999998,61.25999999999999,324.91583
46.27663,3.472304,333.75,69.18963457058246,-0.75,-0.010839773972717,21.33,308.28317178407144,3.394119397348377,290.6527481189997,296.75645582949863,20.419999999999998,61.25999999999999,296.9727
46.277684,3.471337,333.5,138.9316803474475,-0.25,-0.0017994455935088896,42.938,309.05837957633884,3.5650609825030033,306.0588806508913,312.48611714456,20.419999999999998,61.25999999999999,314.12134
46.277959,3.469744,333.25,126.33006689687132,-0.25,-0.0019789429875319057,40.902,323.77090430412,3.561592267616349,320.3166525690852,327.043302273036,20.419999999999998,61.25999999999999,326.04163
46.277684,3.471337,333.5,126.33066367667703,0.25,0.0019789336391031294,40.865,323.47649264779756,3.6387701889896995,326.9601717460421,333.82633535270895,20.419999999999998,61.25999999999999,337.0636
46.277848,3.471297,332.75,18.51398342890455,-0.75,-0.04050992067050676,5.941,320.8925849379742,2.888817048301806,257.4999916784598,262.90749150370743,20.419999999999998,61.25999999999999,260.23386
46.277942,3.471251,332.5,11.046360321647365,-0.25,-0.022631888940837758,3.552,321.55387807142284,3.182886176734668,284.2970537747102,290.26729190397907,20.419999999999998,61.25999999999999,289.7999
46.278224,3.470964,332.5,38.38045528805485,0.0,0.0,12.343,321.5959765813803,3.6,321.5959765813803,328.34949208958926,20.419999999999998,61.25999999999999,332.33093
